Title,date,rating,workout_bool,hrs_outside,weather
Connor’s iPhone,"May 31, 2024",7,1,0,Sunny
Connor’s iPhone,"June 1, 2024",8,0,3,Sunny
Connor’s iPhone,"June 2, 2024",9,0,6,Sunny
Connor’s iPhone,"June 3, 2024",7,1,1,Sunny
Connor’s iPhone,"June 4, 2024",8,0,1,Sunny
Connor’s iPhone,"June 6, 2024",6,1,0,Overcast
Connor’s iPhone,"June 7, 2024",8,1,2,Partly Cloudy
Connor’s iPhone,"June 8, 2024",8,1,4,Partly cloudy
Connor’s iPhone,"June 9, 2024",7,0,1,Partly Rainy
Connor’s iPhone,"June 10, 2024",7,0,0,Sunny
Connor’s iPhone,"June 11, 2024",9,0,5,Cloudy
Connor’s iPhone,"June 12, 2024",10,0,10,Partly cloudy
Connor’s iPhone,"June 13, 2024",6,0,2,Sunny
Connor’s iPhone,"June 14, 2024",7,0,0,Rainy
Connor’s iPhone,"June 15, 2024",9,0,8,Sunny
Connor’s iPhone,"June 16, 2024",8,0,3,Sunny
Connor’s iPhone,"June 17, 2024",7,1,0,Partly Cloudy
Connor’s iPhone,"June 18, 2024",8,1,3,Sunny
Connor’s iPhone,"June 19, 2024",8,0,2,Sunny
Connor’s iPhone,"June 20, 2024",7,1,1,Sunny
Connor’s iPhone,"June 21, 2024",8,0,0,Cloudy
Connor’s iPhone,"June 22, 2024",8,0,4,Cloudy
Connor’s iPhone,"June 23, 2024",8,0,2,Partly Cloudy
Connor’s iPhone,"June 24, 2024",7,1,0,Cloudy
Connor’s iPhone,"June 25, 2024",7,0,1,Sunny
Connor’s iPhone,"June 26, 2024",7,1,0,Sunny
Connor’s iPhone,"June 27, 2024",8,1,1,Sunny
Connor’s iPhone,"June 28, 2024",7,0,2,Sunny
Connor’s iPhone,"June 29, 2024",6,0,0,Rainy
Connor’s iPhone,"June 30, 2024",7,0,1,Rainy
Connor’s iPhone,"July 1, 2024",8,0,4,Sunny
Connor’s iPhone,"July 2, 2024",6,0,0,Sunny
Connor’s iPhone,"July 3, 2024",7.2,0,3,Sunny
Connor’s iPhone,"July 4, 2024",8,0,6,Partly Cloudy
Connor’s iPhone,"July 5, 2024",6,1,3,Partly Cloudy
Connor’s iPhone,"July 6, 2024",7,1,2,Partly Cloudy
Connor’s iPhone,"July 7, 2024",8.5,0,5,Sunny
Connor’s iPhone,"July 8, 2024",6.8,0,4,Sunny
Connor’s iPhone,"July 9, 2024",6.9,0,0,Partly Cloudy
Connor’s iPhone,"July 10, 2024",7.1,0,0,Sunny
Connor’s iPhone,"July 11, 2024",7.9,0,1,Sunny
Connor’s iPhone,"July 12, 2024",8,0,1,Sunny
Connor’s iPhone,"July 13, 2024",7.5,1,1,Partly Cloudy
Connor’s iPhone,"July 14, 2024",7.4,0,3,Sunny
Connor’s iPhone,"July 15, 2024",7.2,1,1,Rainy
Connor’s iPhone,"July 16, 2024",6.9,1,0,Partly Cloudy
Connor’s iPhone,"July 17, 2024",8.3,1,1,Rainy
Connor’s iPhone,"July 18, 2024",10,0,7,Sunny
Connor’s iPhone,"July 19, 2024",8.5,0,3,Sunny
Connor’s iPhone,"July 20, 2024",7.2,1,3.5,Sunny
Connor’s iPhone,"July 21, 2024",6.2,0,0,Sunny
Connor’s iPhone,"July 22, 2024",7.4,0,2,Partly Cloudy
Connor’s iPhone,"July 23, 2024",8.1,1,3,Cloudy
Connor’s iPhone,"July 24, 2024",7.9,1,2,Cloudy
Connor’s iPhone,"July 25, 2024",8.5,1,1,Partly Cloudy
Connor’s iPhone,"July 26, 2024",9.2,0,2,Sunny
Connor’s iPhone,"July 27, 2024",7.9,0,5,Sunny
Connor’s iPhone,"July 28, 2024",7.3,0,4,Sunny
Connor’s iPhone,"July 29, 2024",6.8,0,2,Rainy
Connor’s iPhone,"July 30, 2024",8.1,1,3,Sunny
Connor’s iPhone,"July 31, 2024",8.2,1,3,Sunny
Connor’s iPhone,"August 1, 2024",7.4,0,3,Partly Cloudy
Connor’s iPhone,"August 2, 2024",7.8,0,5,Sunny
Connor’s iPhone,"August 3, 2024",6.8,0,0,Rainy
Connor’s iPhone,"August 4, 2024",8.1,0,1,Rainy
Connor’s iPhone,"August 5, 2024",7.6,0,2,Sunny
Connor’s iPhone,"August 6, 2024",7.9,1,2,Rainy
Connor’s iPhone,"August 7, 2024",8.1,1,1,Cloudy
Connor’s iPhone,"August 8, 2024",7.6,1,2,Rainy
Connor’s iPhone,"August 10, 2024",7.8,0,3,Sunny
