Title,day_i_logged,rating,workout_bool,hrs_outside,weather
Connor’s iPhone,31-May-24,7,1,0,Sunny
Connor’s iPhone,1-Jun-24,8,0,3,Sunny
Connor’s iPhone,2-Jun-24,9,0,6,Sunny
Connor’s iPhone,3-Jun-24,7,1,1,Sunny
Connor’s iPhone,4-Jun-24,8,0,1,Sunny
Connor’s iPhone,6-Jun-24,6,1,0,Overcast
Connor’s iPhone,7-Jun-24,8,1,2,Partly Cloudy
Connor’s iPhone,8-Jun-24,8,1,4,Partly cloudy
Connor’s iPhone,9-Jun-24,7,0,1,Partly Rainy
Connor’s iPhone,10-Jun-24,7,0,0,Sunny
Connor’s iPhone,11-Jun-24,9,0,5,Cloudy
Connor’s iPhone,12-Jun-24,10,0,10,Partly cloudy
Connor’s iPhone,13-Jun-24,6,0,2,Sunny
Connor’s iPhone,14-Jun-24,7,0,0,Rainy
Connor’s iPhone,15-Jun-24,9,0,8,Sunny
Connor’s iPhone,16-Jun-24,8,0,3,Sunny
Connor’s iPhone,17-Jun-24,7,1,0,Partly Cloudy
Connor’s iPhone,18-Jun-24,8,1,3,Sunny
Connor’s iPhone,19-Jun-24,8,0,2,Sunny
Connor’s iPhone,20-Jun-24,7,1,1,Sunny
Connor’s iPhone,21-Jun-24,8,0,0,Cloudy
Connor’s iPhone,22-Jun-24,8,0,4,Cloudy
Connor’s iPhone,23-Jun-24,8,0,2,Partly Cloudy
Connor’s iPhone,24-Jun-24,7,1,0,Cloudy
Connor’s iPhone,25-Jun-24,7,0,1,Sunny
Connor’s iPhone,26-Jun-24,7,1,0,Sunny
Connor’s iPhone,27-Jun-24,8,1,1,Sunny
Connor’s iPhone,28-Jun-24,7,0,2,Sunny
Connor’s iPhone,29-Jun-24,6,0,0,Rainy
Connor’s iPhone,30-Jun-24,7,0,1,Rainy
Connor’s iPhone,1-Jul-24,8,0,4,Sunny
Connor’s iPhone,2-Jul-24,6,0,0,Sunny
Connor’s iPhone,3-Jul-24,7.2,0,3,Sunny
Connor’s iPhone,4-Jul-24,8,0,6,Partly Cloudy
Connor’s iPhone,5-Jul-24,6,1,3,Partly Cloudy
Connor’s iPhone,6-Jul-24,7,1,2,Partly Cloudy
Connor’s iPhone,7-Jul-24,8.5,0,5,Sunny
Connor’s iPhone,8-Jul-24,6.8,0,4,Sunny
Connor’s iPhone,9-Jul-24,6.9,0,0,Partly Cloudy
Connor’s iPhone,10-Jul-24,7.1,0,0,Sunny
Connor’s iPhone,11-Jul-24,7.9,0,1,Sunny
Connor’s iPhone,12-Jul-24,8,0,1,Sunny
Connor’s iPhone,13-Jul-24,7.5,1,1,Partly Cloudy
Connor’s iPhone,14-Jul-24,7.4,0,3,Sunny
Connor’s iPhone,15-Jul-24,7.2,1,1,Rainy
Connor’s iPhone,16-Jul-24,6.9,1,0,Partly Cloudy
Connor’s iPhone,17-Jul-24,8.3,1,1,Rainy
Connor’s iPhone,18-Jul-24,10,0,7,Sunny
Connor’s iPhone,19-Jul-24,8.5,0,3,Sunny
Connor’s iPhone,20-Jul-24,7.2,1,3.5,Sunny
Connor’s iPhone,21-Jul-24,6.2,0,0,Sunny
Connor’s iPhone,22-Jul-24,7.4,0,2,Partly Cloudy
Connor’s iPhone,23-Jul-24,8.1,1,3,Cloudy
Connor’s iPhone,24-Jul-24,7.9,1,2,Cloudy
Connor’s iPhone,25-Jul-24,8.5,1,1,Partly Cloudy
Connor’s iPhone,26-Jul-24,9.2,0,2,Sunny
Connor’s iPhone,27-Jul-24,7.9,0,5,Sunny
Connor’s iPhone,28-Jul-24,7.3,0,4,Sunny
Connor’s iPhone,29-Jul-24,6.8,0,2,Rainy
Connor’s iPhone,30-Jul-24,8.1,1,3,Sunny
Connor’s iPhone,31-Jul-24,8.2,1,3,Sunny
Connor’s iPhone,1-Aug-24,7.4,0,3,Partly Cloudy
Connor’s iPhone,2-Aug-24,7.8,0,5,Sunny
Connor’s iPhone,3-Aug-24,6.8,0,0,Rainy
Connor’s iPhone,4-Aug-24,8.1,0,1,Rainy
Connor’s iPhone,5-Aug-24,7.6,0,2,Sunny
Connor’s iPhone,6-Aug-24,7.9,1,2,Rainy
Connor’s iPhone,7-Aug-24,8.1,1,1,Cloudy
Connor’s iPhone,8-Aug-24,7.6,1,2,Rainy
Connor’s iPhone,10-Aug-24,7.8,0,3,Sunny
Connor’s iPhone,11-Aug-24,8.1,0,4,Sunny
Connor’s iPhone,12-Aug-24,7.1,1,1,Partly Cloudy
Connor’s iPhone,13-Aug-24,7.5,0,4,Sunny
Connor’s iPhone,14-Aug-24,6.8,0,5,Sunny
Connor’s iPhone,15-Aug-24,7.2,0,2,Sunny
Connor’s iPhone,16-Aug-24,6.9,1,0,Sunny
Connor ’s iPhone,17-Aug-24,7,1,1,Partly Cloudy
Connor ’s iPhone,18-Aug-24,6.9,0,0,Rainy
Connor ’s iPhone,19-Aug-24,7.3,1,0,Rainy
Connor ’s iPhone,20-Aug-24,7.6,1,0,Partly Cloudy
Connor ’s iPhone,21-Aug-24,8.3,0,6,Rainy
Connor ’s iPhone,22-Aug-24,8.7,1,8,Partly Cloudy
Connor ’s iPhone,23-Aug-24,8.2,0,8,Sunny
Connor ’s iPhone,24-Aug-24,7.7,1,0,Sunny
Connor ’s iPhone,25-Aug-24,7.4,0,1,Sunny
Connor ’s iPhone,26-Aug-24,7.4,1,0,Rainy
Connor ’s iPhone,27-Aug-24,7.8,1,1,Sunny
Connor ’s iPhone,28-Aug-24,7.5,1,0,Sunny
